woj	pow	gmi	rgmi	nazwa	typ
12				MAŁOPOLSKIE	województwo
12	01			bocheński	powiat
12	01	01	1	Bochnia	gmina miejska
12	01	02	2	Bochnia	gmina wiejska
12	01	03	2	Drwinia	gmina wiejska
12	01	04	2	Lipnica Murowana	gmina wiejska
12	01	05	2	Łapanów	gmina wiejska
12	01	06	3	Nowy Wiśnicz	gmina miejsko-wiejska
12	01	06	4	Nowy Wiśnicz	miasto
12	01	06	5	Nowy Wiśnicz	obszar wiejski
12	01	07	2	Rzezawa	gmina wiejska
12	01	08	2	Trzciana	gmina wiejska
12	01	09	2	Żegocina	gmina wiejska
12	02			brzeski	powiat
12	02	01	2	Borzęcin	gmina wiejska
12	02	02	3	Brzesko	gmina miejsko-wiejska
12	02	02	4	Brzesko	miasto
12	02	02	5	Brzesko	obszar wiejski
12	02	03	3	Czchów	gmina miejsko-wiejska
12	02	03	4	Czchów	miasto
12	02	03	5	Czchów	obszar wiejski
12	02	04	2	Dębno	gmina wiejska
12	02	05	2	Gnojnik	gmina wiejska
12	02	06	2	Iwkowa	gmina wiejska
12	02	07	2	Szczurowa	gmina wiejska
12	03			chrzanowski	powiat
12	03	01	3	Alwernia	gmina miejsko-wiejska
12	03	01	4	Alwernia	miasto
12	03	01	5	Alwernia	obszar wiejski
12	03	02	2	Babice	gmina wiejska
12	03	03	3	Chrzanów	gmina miejsko-wiejska
12	03	03	4	Chrzanów	miasto
12	03	03	5	Chrzanów	obszar wiejski
12	03	04	3	Libiąż	gmina miejsko-wiejska
12	03	04	4	Libiąż	miasto
12	03	04	5	Libiąż	obszar wiejski
12	03	05	3	Trzebinia	gmina miejsko-wiejska
12	03	05	4	Trzebinia	miasto
12	03	05	5	Trzebinia	obszar wiejski
12	04			dąbrowski	powiat
12	04	01	2	Bolesław	gmina wiejska
12	04	02	3	Dąbrowa Tarnowska	gmina miejsko-wiejska
12	04	02	4	Dąbrowa Tarnowska	miasto
12	04	02	5	Dąbrowa Tarnowska	obszar wiejski
12	04	03	2	Gręboszów	gmina wiejska
12	04	04	2	Mędrzechów	gmina wiejska
12	04	05	2	Olesno	gmina wiejska
12	04	06	2	Radgoszcz	gmina wiejska
12	04	07	3	Szczucin	gmina miejsko-wiejska
12	04	07	4	Szczucin	miasto
12	04	07	5	Szczucin	obszar wiejski
12	05			gorlicki	powiat
12	05	01	1	Gorlice	gmina miejska
12	05	02	3	Biecz	gmina miejsko-wiejska
12	05	02	4	Biecz	miasto
12	05	02	5	Biecz	obszar wiejski
12	05	03	3	Bobowa	gmina miejsko-wiejska
12	05	03	4	Bobowa	miasto
12	05	03	5	Bobowa	obszar wiejski
12	05	04	2	Gorlice	gmina wiejska
12	05	05	2	Lipinki	gmina wiejska
12	05	06	2	Łużna	gmina wiejska
12	05	07	2	Moszczenica	gmina wiejska
12	05	08	2	Ropa	gmina wiejska
12	05	09	2	Sękowa	gmina wiejska
12	05	10	2	Uście Gorlickie	gmina wiejska
12	06			krakowski	powiat
12	06	01	2	Czernichów	gmina wiejska
12	06	02	2	Igołomia-Wawrzeńczyce	gmina wiejska
12	06	03	2	Iwanowice	gmina wiejska
12	06	04	2	Jerzmanowice-Przeginia	gmina wiejska
12	06	05	2	Kocmyrzów-Luborzyca	gmina wiejska
12	06	06	3	Krzeszowice	gmina miejsko-wiejska
12	06	06	4	Krzeszowice	miasto
12	06	06	5	Krzeszowice	obszar wiejski
12	06	07	2	Liszki	gmina wiejska
12	06	08	2	Michałowice	gmina wiejska
12	06	09	2	Mogilany	gmina wiejska
12	06	10	3	Skała	gmina miejsko-wiejska
12	06	10	4	Skała	miasto
12	06	10	5	Skała	obszar wiejski
12	06	11	3	Skawina	gmina miejsko-wiejska
12	06	11	4	Skawina	miasto
12	06	11	5	Skawina	obszar wiejski
12	06	12	3	Słomniki	gmina miejsko-wiejska
12	06	12	4	Słomniki	miasto
12	06	12	5	Słomniki	obszar wiejski
12	06	13	2	Sułoszowa	gmina wiejska
12	06	14	3	Świątniki Górne	gmina miejsko-wiejska
12	06	14	4	Świątniki Górne	miasto
12	06	14	5	Świątniki Górne	obszar wiejski
12	06	15	2	Wielka Wieś	gmina wiejska
12	06	16	2	Zabierzów	gmina wiejska
12	06	17	2	Zielonki	gmina wiejska
12	07			limanowski	powiat
